               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.10979,            0.052304,            0.041927,           0.0047418,             0.26766,            0.014584,           0.0039774,            0.050409,            0.036413,            0.020277,              0.0784,              0.0024,              0.0024
                   1,            0.083867,            0.063945,            0.038676,             0.40604,             0.12989,            0.081961,            0.038444,              0.0412,            0.040122,            0.017344,            0.055876,           0.0048757,           0.0048757
                   2,            0.071799,             0.06709,            0.032511,            0.066076,             0.28159,             0.13612,             0.04787,             0.03763,            0.034574,            0.015259,            0.033327,           0.0073267,           0.0073267
                   3,            0.066051,            0.061196,             0.03029,             0.31601,             0.21854,            0.086617,            0.029028,            0.041322,            0.030835,            0.013294,            0.010753,            0.009753,            0.009753
                   4,            0.067457,            0.056843,            0.028616,             0.49946,             0.35609,              0.2969,            0.093609,            0.037926,            0.028615,            0.012108,            0.009802,            0.009802,            0.009802
                   5,             0.06154,            0.056773,            0.025918,             0.35656,             0.36686,             0.13642,            0.052164,            0.037298,            0.028418,            0.012117,            0.009802,            0.009802,            0.009802
                   6,            0.059608,            0.050863,             0.02442,             0.39588,              0.4594,             0.25565,            0.098939,            0.032729,            0.027222,            0.012708,           0.0097525,           0.0097525,           0.0097525
                   7,            0.057889,            0.053885,            0.022218,             0.50789,             0.43472,             0.29868,             0.11574,            0.025513,            0.026564,            0.011662,            0.009703,            0.009703,            0.009703
                   8,            0.051056,            0.051208,            0.020816,             0.54435,             0.42478,             0.38731,             0.16442,            0.031955,            0.025411,           0.0091779,           0.0096535,           0.0096535,           0.0096535
                   9,             0.05117,            0.051597,            0.018672,             0.47565,             0.58492,             0.42749,             0.18469,            0.027891,            0.024819,           0.0083499,            0.009604,            0.009604,            0.009604
                  10,            0.055153,             0.04889,            0.019102,              0.6493,             0.59692,             0.51773,             0.30734,            0.020617,             0.02242,           0.0072702,           0.0095545,           0.0095545,           0.0095545
                  11,             0.04933,             0.04772,            0.018471,             0.66011,             0.59808,             0.57927,             0.30799,            0.022194,            0.021362,           0.0069105,            0.009505,            0.009505,            0.009505
                  12,            0.046108,            0.045617,            0.018197,             0.80166,             0.58965,             0.68912,              0.4136,            0.016602,            0.019424,           0.0059068,           0.0094555,           0.0094555,           0.0094555
                  13,            0.047638,            0.044068,            0.015456,             0.83529,             0.61533,              0.6751,              0.2749,            0.025208,            0.020891,           0.0054578,            0.009406,            0.009406,            0.009406
                  14,            0.045511,            0.041384,            0.016334,             0.71019,             0.62957,             0.62263,             0.38486,            0.017424,            0.018715,           0.0051313,           0.0093565,           0.0093565,           0.0093565
                  15,            0.044236,             0.04256,            0.014192,             0.79616,             0.62321,             0.63311,             0.40301,             0.01685,            0.020666,           0.0053329,            0.009307,            0.009307,            0.009307
                  16,            0.042926,            0.041447,             0.01477,             0.91751,             0.60956,             0.69986,              0.3135,            0.020294,            0.021026,           0.0051125,           0.0092575,           0.0092575,           0.0092575
                  17,            0.044511,            0.041899,            0.014584,             0.49033,             0.75312,             0.65936,             0.40931,            0.019615,            0.020288,           0.0047068,            0.009208,            0.009208,            0.009208
                  18,            0.041843,            0.039966,            0.013265,             0.86912,             0.57872,             0.66425,             0.44371,            0.017935,            0.019268,           0.0046297,           0.0091585,           0.0091585,           0.0091585
                  19,            0.042696,             0.04129,            0.012977,             0.87817,             0.69181,             0.71878,             0.46643,            0.016675,            0.017638,           0.0042543,            0.009109,            0.009109,            0.009109
                  20,            0.037762,            0.039189,            0.012682,              0.8683,             0.63079,             0.71417,             0.49594,            0.015421,            0.017514,           0.0044283,           0.0090595,           0.0090595,           0.0090595
                  21,            0.038563,            0.038044,            0.012116,             0.84676,             0.65129,             0.71268,             0.46862,            0.017834,            0.017119,           0.0043114,             0.00901,             0.00901,             0.00901
                  22,            0.039027,            0.036025,           0.0099576,             0.86768,             0.61446,             0.71667,             0.44808,            0.019522,            0.019044,           0.0042024,           0.0089605,           0.0089605,           0.0089605
                  23,            0.036501,            0.038478,            0.011196,              0.8504,             0.63444,             0.69785,             0.46855,            0.018294,            0.018084,           0.0045193,            0.008911,            0.008911,            0.008911
                  24,             0.03498,             0.03694,            0.011425,             0.92173,              0.6466,             0.71778,              0.4227,            0.017272,            0.019731,           0.0040724,           0.0088615,           0.0088615,           0.0088615
                  25,            0.033582,            0.036169,            0.013895,             0.91687,             0.66265,              0.7363,             0.49188,            0.013015,            0.019411,           0.0039779,            0.008812,            0.008812,            0.008812
                  26,            0.035212,            0.036623,           0.0098853,             0.90199,             0.65439,             0.76571,             0.53338,             0.01667,             0.01847,           0.0037437,           0.0087625,           0.0087625,           0.0087625
                  27,            0.035362,            0.035953,            0.010173,             0.95419,             0.66303,             0.77257,             0.53129,            0.016576,             0.01711,           0.0036836,            0.008713,            0.008713,            0.008713
                  28,            0.033291,            0.034184,            0.010949,             0.93805,             0.64032,              0.7661,             0.54312,            0.013692,            0.017329,           0.0037391,           0.0086635,           0.0086635,           0.0086635
                  29,            0.034254,            0.034469,            0.011128,             0.92181,             0.62541,             0.76404,             0.49386,            0.017164,             0.01778,            0.003631,            0.008614,            0.008614,            0.008614
                  30,            0.033053,            0.033515,           0.0097059,             0.87189,             0.67852,             0.77115,             0.57256,            0.012962,            0.017266,           0.0034482,           0.0085645,           0.0085645,           0.0085645
                  31,            0.033511,            0.033441,            0.010789,             0.94513,             0.66664,              0.7714,             0.61551,            0.012639,            0.017221,           0.0032629,            0.008515,            0.008515,            0.008515
                  32,            0.032969,             0.03233,            0.010603,             0.96927,             0.67935,             0.78284,             0.55077,            0.013428,             0.01707,           0.0030725,           0.0084655,           0.0084655,           0.0084655
                  33,            0.029773,             0.03286,            0.009228,             0.96824,             0.71587,             0.80101,             0.55256,            0.012425,            0.018238,           0.0031174,            0.008416,            0.008416,            0.008416
                  34,            0.030852,            0.033398,            0.010167,             0.58219,             0.89598,             0.76863,             0.51628,            0.014732,            0.020637,           0.0032721,           0.0083665,           0.0083665,           0.0083665
                  35,            0.030156,            0.031238,           0.0096288,             0.95333,             0.70445,             0.81287,             0.47334,            0.013313,            0.016638,           0.0031369,            0.008317,            0.008317,            0.008317
                  36,            0.030794,            0.031355,            0.010963,             0.59949,             0.89618,             0.78132,             0.56491,            0.013188,            0.016813,           0.0030326,           0.0082675,           0.0082675,           0.0082675
                  37,            0.030891,            0.031258,           0.0096581,             0.95876,             0.67933,             0.78963,             0.57528,            0.012518,             0.01626,           0.0030188,            0.008218,            0.008218,            0.008218
                  38,             0.03155,            0.033167,           0.0094982,             0.93932,             0.68167,             0.77253,             0.59852,           0.0097914,            0.015857,           0.0030283,           0.0081685,           0.0081685,           0.0081685
                  39,            0.030023,            0.030328,           0.0084613,             0.57411,             0.92096,             0.79798,             0.57608,            0.013758,            0.016664,           0.0029263,            0.008119,            0.008119,            0.008119
                  40,             0.03029,             0.03263,           0.0084975,             0.96218,             0.67858,             0.80425,              0.5714,            0.010644,            0.015862,           0.0030833,           0.0080695,           0.0080695,           0.0080695
                  41,            0.026388,            0.028797,           0.0091921,             0.61453,             0.83268,             0.79192,             0.59606,            0.012757,            0.016147,           0.0032392,             0.00802,             0.00802,             0.00802
                  42,            0.030216,            0.031273,            0.010539,             0.61881,             0.90754,             0.82037,             0.60895,            0.012676,             0.01694,           0.0031941,           0.0079705,           0.0079705,           0.0079705
                  43,            0.029484,            0.032005,           0.0098852,             0.66289,             0.82475,             0.86467,             0.65996,            0.010427,            0.016516,           0.0030788,            0.007921,            0.007921,            0.007921
                  44,            0.028512,            0.031572,           0.0082219,             0.69323,              0.8116,             0.86621,             0.59261,            0.012749,            0.016495,           0.0031085,           0.0078715,           0.0078715,           0.0078715
                  45,            0.028051,            0.030185,           0.0075279,             0.70151,             0.82311,              0.8857,             0.66869,            0.012226,            0.015805,           0.0026865,            0.007822,            0.007822,            0.007822
                  46,            0.030575,             0.02939,           0.0072983,             0.69285,             0.84398,             0.86331,             0.65091,            0.013831,            0.018058,            0.002664,           0.0077725,           0.0077725,           0.0077725
                  47,            0.028438,                0.03,           0.0077782,             0.68595,             0.80552,             0.83167,             0.56626,            0.012984,            0.016355,           0.0027319,            0.007723,            0.007723,            0.007723
                  48,            0.028208,            0.029418,           0.0083881,             0.74361,             0.84731,             0.82445,             0.61636,            0.010891,            0.016778,           0.0026434,           0.0076735,           0.0076735,           0.0076735
                  49,            0.025538,            0.029961,           0.0081015,             0.78281,             0.86654,              0.8966,             0.67192,            0.010596,            0.017282,           0.0024492,            0.007624,            0.007624,            0.007624
                  50,            0.027608,            0.028859,            0.009205,             0.76801,             0.78417,             0.86208,             0.67776,            0.010538,            0.016652,           0.0025451,           0.0075745,           0.0075745,           0.0075745
                  51,            0.026709,             0.02875,           0.0080317,             0.80799,              0.8611,             0.91667,             0.73132,           0.0099856,            0.015956,           0.0025207,            0.007525,            0.007525,            0.007525
                  52,            0.028102,            0.028626,           0.0071618,             0.89194,             0.87706,             0.92729,             0.69953,            0.011474,            0.016829,           0.0023513,           0.0074755,           0.0074755,           0.0074755
                  53,             0.02643,             0.02847,           0.0071218,             0.86688,             0.90576,             0.94793,             0.72636,            0.012271,            0.017647,           0.0022042,            0.007426,            0.007426,            0.007426
                  54,            0.026306,            0.026732,           0.0075493,             0.92549,             0.86176,             0.94103,             0.70013,             0.01219,            0.015721,           0.0020946,           0.0073765,           0.0073765,           0.0073765
                  55,            0.027234,            0.030361,           0.0068434,             0.85747,             0.86104,             0.92863,              0.7489,           0.0089783,            0.014559,           0.0021441,            0.007327,            0.007327,            0.007327
                  56,            0.026043,            0.027494,           0.0072082,             0.91802,             0.86492,             0.92255,             0.72799,            0.011057,            0.015261,           0.0020712,           0.0072775,           0.0072775,           0.0072775
                  57,            0.026642,            0.027917,           0.0063167,              0.9132,             0.86379,             0.91468,             0.72416,            0.010473,              0.0151,           0.0021292,            0.007228,            0.007228,            0.007228
                  58,            0.027577,            0.028548,           0.0074499,             0.87813,             0.89955,             0.92639,             0.73783,            0.011132,            0.014695,            0.002276,           0.0071785,           0.0071785,           0.0071785
                  59,            0.027676,              0.0288,           0.0066667,             0.95844,             0.90514,             0.94322,             0.74259,           0.0088181,            0.014035,           0.0022934,            0.007129,            0.007129,            0.007129
                  60,            0.025219,               0.027,           0.0075042,             0.94344,             0.90806,             0.95145,             0.76254,            0.011186,            0.015098,           0.0021262,           0.0070795,           0.0070795,           0.0070795
                  61,            0.027472,            0.027804,           0.0065191,             0.93152,             0.91247,             0.95904,              0.7729,            0.009577,            0.016486,           0.0019524,             0.00703,             0.00703,             0.00703
                  62,            0.025166,            0.029879,           0.0058166,             0.94031,             0.88703,             0.96374,             0.77538,           0.0091066,             0.01458,           0.0017468,           0.0069805,           0.0069805,           0.0069805
                  63,            0.025707,            0.027145,           0.0055576,             0.94515,             0.88697,             0.96578,             0.76307,            0.010436,            0.015848,           0.0017555,            0.006931,            0.006931,            0.006931
                  64,            0.023785,            0.029233,           0.0057235,             0.89127,             0.93708,             0.94883,             0.73209,           0.0097356,            0.016378,           0.0017625,           0.0068815,           0.0068815,           0.0068815
                  65,            0.026254,            0.027755,            0.006668,             0.95742,             0.89031,              0.9384,             0.75781,           0.0091156,            0.015786,           0.0018421,            0.006832,            0.006832,            0.006832
                  66,            0.024556,            0.026194,           0.0056866,             0.94798,             0.89118,             0.93693,             0.68878,            0.010505,            0.014902,           0.0017271,           0.0067825,           0.0067825,           0.0067825
                  67,             0.02498,            0.025797,           0.0065588,             0.94725,             0.92787,             0.94923,             0.81288,           0.0085337,            0.014051,           0.0015671,            0.006733,            0.006733,            0.006733
                  68,            0.023693,            0.026982,           0.0065315,             0.94778,             0.94172,             0.97699,             0.81167,           0.0080326,            0.016234,           0.0015272,           0.0066835,           0.0066835,           0.0066835
                  69,             0.02301,            0.026184,           0.0053825,             0.96356,             0.94083,             0.98296,             0.83394,           0.0078047,            0.014374,           0.0015077,            0.006634,            0.006634,            0.006634
                  70,            0.022938,            0.027565,           0.0053019,             0.93358,             0.96872,              0.9839,              0.7761,            0.010721,            0.015328,           0.0014513,           0.0065845,           0.0065845,           0.0065845
                  71,            0.023371,            0.027677,           0.0055874,             0.96432,              0.9334,             0.97847,             0.73517,           0.0099325,            0.016535,           0.0013832,            0.006535,            0.006535,            0.006535
                  72,            0.024727,            0.028049,           0.0062801,             0.90306,             0.96536,             0.97033,             0.80901,           0.0072854,            0.015347,           0.0013422,           0.0064855,           0.0064855,           0.0064855
                  73,            0.023036,            0.028368,           0.0051705,             0.85386,             0.96761,             0.95344,             0.78611,           0.0088593,            0.015529,           0.0013328,            0.006436,            0.006436,            0.006436
                  74,            0.021521,            0.028154,             0.00491,             0.96505,             0.87207,             0.94792,             0.80265,            0.010198,            0.014415,           0.0012475,           0.0063865,           0.0063865,           0.0063865
                  75,            0.022987,            0.026043,           0.0050026,             0.97157,             0.88406,             0.94595,             0.78872,            0.009836,            0.014977,           0.0011529,            0.006337,            0.006337,            0.006337
                  76,            0.020611,            0.024327,            0.004156,             0.92814,             0.96016,             0.96254,             0.78222,            0.010691,            0.015077,           0.0011624,           0.0062875,           0.0062875,           0.0062875
                  77,              0.0236,            0.024766,           0.0039006,             0.96854,             0.89113,             0.96945,             0.78085,           0.0087142,             0.01457,           0.0011619,            0.006238,            0.006238,            0.006238
                  78,            0.021544,            0.026951,           0.0048976,             0.95867,              0.9621,             0.96618,             0.80473,           0.0087687,            0.013629,           0.0011119,           0.0061885,           0.0061885,           0.0061885
                  79,            0.022467,            0.024898,           0.0038348,             0.95807,             0.89594,             0.94962,             0.77928,           0.0082637,             0.01341,           0.0011949,            0.006139,            0.006139,            0.006139
                  80,            0.021477,            0.024094,           0.0045285,             0.94057,             0.94053,             0.95641,             0.80117,           0.0090655,            0.013594,           0.0011969,           0.0060895,           0.0060895,           0.0060895
                  81,            0.022759,            0.023683,           0.0039833,             0.91796,             0.94505,             0.97009,             0.78357,           0.0091507,             0.01474,           0.0012659,             0.00604,             0.00604,             0.00604
                  82,            0.022591,            0.027471,           0.0042881,             0.95192,              0.9441,             0.98701,               0.816,           0.0079057,            0.014626,           0.0012395,           0.0059905,           0.0059905,           0.0059905
                  83,            0.020795,             0.02398,           0.0055368,             0.95354,             0.92633,             0.98364,             0.79929,           0.0087596,            0.015569,           0.0012488,            0.005941,            0.005941,            0.005941
                  84,            0.023215,             0.02533,           0.0048621,             0.97002,             0.91862,             0.98024,             0.79399,           0.0077455,            0.015006,           0.0011904,           0.0058915,           0.0058915,           0.0058915
                  85,            0.021858,             0.02497,           0.0049893,             0.95209,             0.92703,             0.98198,             0.82122,           0.0094651,            0.015598,           0.0010981,            0.005842,            0.005842,            0.005842
                  86,            0.020572,            0.025056,           0.0042314,             0.99286,               0.936,             0.98829,             0.81044,           0.0080004,            0.013607,           0.0010255,           0.0057925,           0.0057925,           0.0057925
                  87,            0.021109,              0.0228,           0.0043149,             0.91078,             0.96912,             0.98074,             0.75365,            0.008913,            0.014337,          0.00099216,            0.005743,            0.005743,            0.005743
                  88,            0.022474,            0.024581,           0.0049131,             0.92542,             0.98998,             0.98387,             0.78939,           0.0087572,             0.01478,          0.00098193,           0.0056935,           0.0056935,           0.0056935
                  89,            0.021009,            0.024958,           0.0043082,             0.91917,             0.97174,             0.97701,             0.79958,           0.0073099,            0.016131,           0.0011435,            0.005644,            0.005644,            0.005644
